Colegio,lat,lon
leonardo da vinci/ las condes,-33.4030534,-70.5544523
pumahue/ colina,-33.2166154,-70.7296951
san nicolas de myra/ las condes,-33.3938418,-70.5054063
liceo instituto nacional/ santiago,,
bradford school/ vitacura,-33.3844687,-70.573043
pedro de valdivia/ peñalolen,-33.4931999,-70.577149
mayor tobalaba/ puente alto,-33.5629307,-70.5564236
manantial de la florida/ la florida,-33.5374695,-70.6001532
pumahue/ huechuraba,-33.3576362,-70.6624713
mayor/ peñalolen,-33.4908863,-70.5570451
alicante / la florida,-35.4391838,-71.6716472
saint johns villa academy/ la reina,,
compañia de maria apoquindo/ las condes,-33.4096153,-70.5658679
saint georges college/ vitacura,,
seminario pontificio menor/ las condes,-33.4060057,-70.5535032
san nicolas diacono/ colina,-33.2742722,-70.703987
santo domingo/ la reina,-33.4507719,-70.5221754
calasanz/ ñuñoa,-33.4498376,-70.5844037
internacional alba/ maipu,-33.4801735,-70.7458403
pedro de valdivia/ providencia,-33.425483,-70.6137959
boston college / la florida,-33.5438581,-70.5696117
liceo carmela carvajal de prat/ providencia,-33.4433348,-70.6254585
nuestra señora del rosario/ las condes,-33.4033941,-70.5607941
liceo augusto dhalmar/ ñuñoa,,
cambridge college/providencia,,
arrayanes/ san fernando,-34.5984443,-70.9576668
saint gabriel school/ providencia,-33.4272639,-70.5926619
liceo bicentenario italia/ santiago,-33.4706058,-70.6506005
instituto de humanidades luis campino/ providencia,-33.4256971,-70.6106079
liceo nacional/ maipu,-33.5193031,-70.7917715
academia de humanidades/recoleta,-33.4251426,-70.6434165
francisco de asis/ las condes,-33.3791085,-70.5136716
huelen/ vitacura,-33.3777473,-70.5755464
francisco javier de huechuraba,-33.3503796,-70.6838865
saint andrew/ las condes,-33.3742801,-70.4996966
saint gaspar college/ ñuñoa,-33.4607716,-70.6048742
sagrados corazones/ providencia,-33.4444701,-70.59268
british royal school/ la reina,-33.4512379,-70.5271956
the mayflower school/ lo barnechea,-33.3456433,-70.5074002
aleman de santiago/ las condes,-33.4081097,-70.5661612
los alerces/ lo barnechea,-33.3640637,-70.5184483
instituto ohiggins/ rancagua,,
el bosque provincia cordillera/ puente alto,-33.6185,-70.5979091
instituto santa maria/ ñuñoa,-33.4576912,-70.5965429
sagrado corazon de apoquindo/ las condes,-33.410514,-70.5505099
pedro de valdivia/ las condes,-33.370714,-70.5080432
tabancura/ vitacura,-33.3802002,-70.5340927
scuola italiana vittorio montiglio/ las condes,-33.39811,-70.5051654
nuestra señora del loreto/ las condes,,
andree english school/ la reina,-33.4403711,-70.5513491
liceo amanda labarca / vitacura,-33.38852,-70.5499273
sagrado corazon de jesus/ la reina,,
liceo maria luisa bombal/ vitacura,-33.3881129,-70.5798233
wenlock school/ las condes,-33.4106568,-70.5228887
grace college/ huechuraba,-33.3544847,-70.6768397
institucion teresiana/ las condes,-33.4247847,-70.5553198
padre hurtado y juanita de los andes/ las condes,,
internacional sek chile/ las condes,,
instituto la salle/ la florida,-33.5456796,-70.5666151
santiago college/ lo barnechea,-33.3395898,-70.5446343
santa ursula/ vitacura,-33.3943077,-70.5974585
santa maria/ paine,-33.8088407,-70.7408706
de adultos instituto tabancura/ vitacura,,
nahuel/ paine,-33.8018548,-70.7131152
the international school/ la serena,-29.9488098,-71.2351829
liceo nº1 javiera carrera/ santiago,,
kendal english school/ las condes,-33.4304737,-70.5633163
josefino santisima trinidad/ providencia,-33.4358473,-70.6190327
villa maria academy/ las condes,-33.4209975,-70.588991
patrocinio san jose/ providencia,-33.4292891,-70.6294929
san miguel arcangel/ las condes,-33.388982,-70.5332436
los andes/ vitacura,-33.3756183,-70.5272267
alcantara de los altos de peñalolen,-33.4763564,-70.5398437
centro educ. / la florida,-33.5188839,-70.5583083
centro educ. life support/ las condes,,
liceo jose victorino lastarria/ providencia,-33.430513,-70.6211472
dunalastair/ las condes,-33.3800845,-70.5272624
cumbres / las condes,-33.3896376,-70.4974867
instituto pdte. errazuriz/ las condes,,
the southern cross school/ las condes,-33.3713138,-70.5052907
sagrado corazon de talagante,-33.6782648,-70.9455545
patrona sra. de lourdes/ la florida,-33.5201819,-70.5687058
epullay / peñalolen,-33.4707872,-70.5230118
instituto alonso de ercilla/ santiago,-33.4370379,-70.6666351
sagrados corazones manquehue/ vitacura,-33.3782221,-70.5500399
cordillera/ las condes,-33.3973534,-70.5143342
carmela larrain de inf./maipu,,
san adrian/ quilicura,-33.3616277,-70.730873
concepcion/ chillan,-36.5952508,-72.0814884
palmares/ quilicura,-33.3482204,-70.7278623
la girouette/ las condes,-33.4203106,-70.5685073
liceo domingo santa maria/ arica,-18.4684815,-70.3037669
trewhelas english school/ providencia,,
adventista porvenir/ stgo.,-33.4547409,-70.6309345
centenario / maipu,-33.532913,-70.6975349
lycee antoine de saint-exupery/ vitacura,-33.3942885,-70.5832221
internado nacional barros arana/ santiago,-33.4379269,-70.6838206
gabriela mistral/ rancagua,-34.1752746,-70.7309471
liceo bicentenario polivalente san nicolas/ san nicolas,-36.5046892,-72.218644
niño jesus de praga/ rancagua,-34.1635385,-70.7304829
alcazar de las condes/ las condes,-33.4099818,-70.5794656
verbo divino/ las condes,-33.42134,-70.586125
san agustin/ ñuñoa,-33.4588259,-70.5777334
instituto superior de comercio/ coquimbo,-29.9607805,-71.3405403
aleman/ temuco,-38.7362016,-72.6144566
sagrados corazones de alameda/ santiago,-33.4484759,-70.6641936
liceo bicentenario provincial santa teresa de los andes,,
teresiano enrique de osso/ la reina,-33.442532,-70.5711304
dunalastair valle norte/ colina,,
pumahue/ peñalolen,-33.4967463,-70.5467142
esc. rosa elvira matte de prieto/ lo espejo,,
dunalastair/ peñalolen,-33.5015937,-70.5498629
tabor y nazareth/ lo barnechea,-33.3238155,-70.5410748
filipense/ santiago,-33.4518293,-70.662273
pedro de valdivia-agustinas/ santiago,-33.4419773,-70.6645155
liceo b-42 tajamar/ providencia,,
liceo simon bolivar/ las condes,-33.4259304,-70.5545551
craighouse/ lo barnechea,-33.3147874,-70.5713629
everest / lo barnechea,-33.3332676,-70.5551929
instituto hebreo dr. chaim weizmann-ort/ lo barnechea,,
liceo politecnico sara blinder dargoltz/ santiago,-33.4679056,-70.6484857
la maisonnette/ vitacura,-33.385666,-70.576337
alicante del rosal / maipu,-33.4911671,-70.7797032
manquecura valle lo campino/ quilicura,-33.387741,-70.7242692
liceo rafael sotomayor/ las condes,-33.3951394,-70.5549215
american academy/ san bernardo,-33.6021636,-70.6993356
liceo nº7 de niñas/ providencia,,
san pedro nolasco/ vitacura,-33.3973313,-70.5724448
esc. particular ruben dario/ maipu,,
liceo alexander fleming/ las condes,,
claudio matte/ la granja,-33.5567212,-70.6242338
san esteban diacono/ vitacura,-33.382874,-70.5536226
nueva era siglo xxi/ la florida,,
adventista/ antofagasta,-23.6460548,-70.3956206
centro ed. rousseau / maipu,,
