,Colegio,colegio_id
0,academia de estudios miraflores,0
1,academia de humanidades,1
2,academia iquique hospicio,2
3,academia tarapaca orella,3
4,acropolis ,4
5,adventista,5
6,adventista maranata,6
7,adventista porvenir,7
8,adventista santiago norte,8
9,adventista santiago sur,9
10,agustin escobar ,10
11,agustiniano,11
12,akros ,12
13,albamar ,13
14,albert einstein,14
15,albert einstein ,15
16,alberto blest gana,16
17,alberto hurtado cruchaga,17
18,alberto hurtado cruchaga ,18
19,alberto perez,19
20,alborada,20
21,alborada del mar,21
22,alcantara ,22
23,alcantara de la cordillera,23
24,alcazar de las condes,24
25,aleman,25
26,aleman ,26
27,aleman de chicureo,27
28,aleman de concepcion,28
29,aleman de san felipe,29
30,aleman de santiago,30
31,aleman de valparaiso,31
32,aleman sankt thomas morus,32
33,alexander fleming,33
34,alianza francesa,34
35,alianza francesa de valparaiso,35
36,alicante ,36
37,alicante del rosal ,37
38,alicante del sol,38
39,alicante del valle,39
40,almenar del maipo,40
41,almendral ,41
42,almondale ,42
43,almondale lomas,43
44,alonso de cordova,44
45,alonso de ercilla,45
46,alonso de ercilla ,46
47,altamira,47
48,altas cumbres ,48
49,altazor,49
50,alterra,50
51,alto del maipo,51
52,alto del valle,52
53,alto palena,53
54,altomonte,54
55,amalia errazuriz ,55
56,amazing grace english school,56
57,american academy,57
58,american british school ,58
59,american college,59
60,american college ,60
61,andes,61
62,andino ,62
63,andino antillanca ,63
64,andree english school,64
65,andres bello,65
66,anglo,66
67,anglo american international school,67
68,antartica chilena ,68
69,antil mawida ,69
70,antilen,70
71,antimanque,71
72,antofagasta ,72
73,antonio rendic,73
74,antonio varas ,74
75,antupiren ,75
76,apostol san pedro,76
77,aquelarre ,77
78,arabe,78
79,araucaria cordillera,79
80,arrayanes,80
81,arriaran barros ,81
82,artistico cultural form-arte,82
83,artistico el salvador,83
84,arturo matte larrain,84
85,arturo perez canto,85
86,arturo prat ,86
87,arturo toro amor,87
88,arzobispo crescente errazuriz,88
89,ascencion nicol,89
90,atenas ,90
91,australian college tercer milenio,91
92,ayelen,92
93,bajo molle,93
94,barros borgono,94
95,bautista,95
96,bernadette college ,96
97,bernardo o'higgins,97
98,bernardo ohiggins ,98
99,bertait college,99
100,betsabe hormazabal ,100
101,betterland school,101
102,bicentenario college,102
103,bicentenario cordillera de san felipe,103
104,bicentenario republica del brasil,104
105,bicentenario victor jara martinez,105
106,blas pascal school ,106
107,bordemar,107
108,boston college,108
109,boston college ,109
110,boston college alto macul,110
111,boston college la farfana,111
112,boston college san martin,112
113,bradford school,113
114,britanico the british school,114
115,british college,115
116,british high school,116
117,british royal school,117
118,buin,118
119,c.e.i.a altazol,119
120,c.e.i.a carlos yanez moya,120
121,c.e.i.a casa chaminade,121
122,c.e.i.a laura vicuna,122
123,c.e.i.a newen,123
124,c.e.i.a profesor hector duarte,124
125,c.e.i.a victoria,125
126,c.e.i.a. salomon fuentes martinez,126
127,c.e.i.a. santa,127
128,cahuala insular,128
129,calasanz,129
130,cambridge college,130
131,camilo henriquez ,131
132,campanario,132
133,campvs college,133
134,capellan pascal ,134
135,carampangue ,135
136,cardenal antonio samore ,136
137,cardenal carlos oviedo cavada,137
138,cardenal raul silva h.,138
139,carmela larrain de inf.,139
140,carmela romero,140
141,carmen teresiano i,141
142,carolina llona de cuevas,142
143,casa de estudio futuro,143
144,castelgandolfo ,144
145,casteliano ,145
146,cecap. francisco bilbao,146
147,centenario ,147
148,central educacional lincoln college,148
149,centro de estudios la araucana,149
150,centro ed mario bertero cevasco,150
151,centro ed. de ad.,151
152,centro ed. de ad. sandrock,152
153,centro ed. dr. amador nechme,153
154,centro ed. peumayen,154
155,centro ed. rousseau ,155
156,centro edu. san andres ,156
157,centro educ. ,157
158,centro educ. alberto hurtado,158
159,centro educ. altair,159
160,centro educ. compañia de maria,160
161,centro educ. eduardo de la barra,161
162,centro educ. fernando de aragon,162
163,centro educ. goyenechea,163
164,centro educ. horacio aravena,164
165,centro educ. larun rayun,165
166,centro educ. life support,166
167,centro educ. niño dios de malloco,167
168,centro educ. part. maria reina inmaculad,168
169,centro educ. principado de asturias,169
170,centro educ. prof. guillermo gonzalez heinric,170
171,centro educ. salesianos,171
172,centro educ. salesianos alameda,172
173,centro educ. san agustin,173
174,centro educ. san carlos de aragon,174
175,centro educ. san fernando,175
176,centro educ. san lorenzo,176
177,centro educ. santa clara ,177
178,centro educacion mariano egana,178
179,centro educacional de adultos rafael sotomayo,179
180,centro educacional mirador,180
181,centro educacional part. orden de san jorge,181
182,centro educacional vygotsky ,182
183,centro educativo la puerta,183
184,centro politecnico carlos condell,184
185,centro politecnico part. ,185
186,centro politecnico part. san ramon,186
187,centro san esteban martir,187
188,cervantes,188
189,champagnat ,189
190,charles de gaulle,190
191,charly school,191
192,chañares,192
193,chile,193
194,chilean eagles college,194
195,chileno norteamericano,195
196,christ school,196
197,christian garden school,197
198,chuquicamata ,198
199,ciudadela montessori,199
200,claudio arrau ,200
201,claudio matte,201
202,colegio altazol del maipo,202
203,colegio american british college,203
204,colegio antuquenu andino,204
205,colegio bicentenario santa maria,205
206,colegio cabo de hornos,206
207,colegio castilla y aragon,207
208,colegio corazon de jesus,208
209,colegio corazon de maria,209
210,colegio de maria,210
211,colegio galileo,211
212,colegio ingles mi mundo,212
