,comuna,comuna_id
0,algarrobo,0
1,alto hospicio,1
2,ancud,2
3,angol,3
4,antofagasta,4
5,arauco,5
6,arica,6
7,buin,7
8,calama,8
9,calbuco,9
10,calera de tango,10
11,calle larga,11
12,cartagena,12
13,casablanca,13
14,castro,14
15,cañete,15
16,cerrillos,16
17,cerro navia,17
18,chañaral,18
19,chepica,19
20,chicureo,20
21,chiguayante,21
22,chile chico,22
23,chillan,23
24,chimbarongo,24
25,cholchol,25
26,cochrane,26
27,colbun,27
28,colina,28
29,collipulli,29
30,coltauco,30
31,concepcion,31
32,conchali,32
33,concon,33
34,contulmo,34
35,coquimbo,35
36,coronel,36
37,curacavi,37
38,curanilahue,38
39,curico,39
40,dalcahue,40
41,doñihue,41
42,el bosque,42
43,el monte,43
44,el tabo,44
45,estacion central,45
46,futrono,46
47,hualpen,47
48,huechuraba,48
49,independecia,49
50,independencia,50
51,iquique,51
52,isla de maipo,52
53,isla de pascua,53
54,la cisterna,54
55,la cruz,55
56,la florida,56
57,la granja,57
58,la ligua,58
59,la pintana,59
60,la reina,60
61,la serena,61
62,la union,62
63,laja,63
64,lampa,64
65,las cabras,65
66,las condes,66
67,licanten,67
68,limache,68
69,linares,69
70,litueche,70
71,llaillay,71
72,lo barnechea,72
73,lo espejo,73
74,lo prado,74
75,los andes,75
76,los angeles,76
77,los vilos,77
78,lota,78
79,machali,79
80,macul,80
81,maipu,81
82,mariquina,82
83,maule,83
84,mejillones,84
85,melipilla,85
86,molina,86
87,mostazal,87
88,nacimiento,88
89,natales,89
90,nogales,90
91,nueva imperial,91
92,olivar,92
93,osorno,93
94,ovalle,94
95,padre hurtado,95
96,paine,96
97,panquehue,97
98,parral,98
99,pedro aguirre cerda,99
100,peralillo,100
101,peñaflor,101
102,peñalolen,102
103,pichilemu,103
104,pinto,104
105,pirque,105
106,pitrufquen,106
107,providencia,107
108,pte alto,108
109,puchuncavi,109
110,pucon,110
111,pudahuel,111
112,puente alto,112
113,puerto montt,113
114,puerto varas,114
115,punta arenas,115
116,puyehue,116
117,quellon,117
118,quilicura,118
119,quillota,119
120,quinchao,120
121,quinta de tilcoco,121
122,quinta normal,122
123,quintero,123
124,rancagua,124
125,recoleta,125
126,renca,126
127,rengo,127
128,requinoa,128
129,retiro,129
130,rio bueno,130
131,rio negro,131
132,romeral,132
133,salamanca,133
134,san antonio,134
135,san bernardo,135
136,san carlos,136
137,san felipe,137
138,san fernando,138
139,san javier,139
140,san joaquin,140
141,san jose de maipo,141
142,san miguel,142
143,san nicolas,143
144,san pedro de atacama,144
145,san pedro de la paz,145
146,san ramon,146
147,santa barbara,147
148,santa cruz,148
149,santa juana,149
150,santiago,150
151,santo domingo,151
152,stgo,152
153,stgo.,153
154,talagante,154
155,talca,155
156,talcahuano,156
157,taltal,157
158,temuco,158
159,teno,159
160,tiltil,160
161,tocopilla,161
162,tome,162
163,traiguen,163
164,valdivia,164
165,vallenar,165
166,valparaiso,166
167,vicuña,167
168,villa alemana,168
169,villarrica,169
170,vitacura,170
171,viña del mar,171
172,zapallar,172
173,ñuñoa,173
